"What is the term for hiding data?",encapsulation,"encapsulation abstraction inheritance polymorphism"
"What is the term for acquiring properties?",inheritance,"inheritance polymorphism encapsulation abstraction"
"What keyword is used to declare an interface?",interface,"interface class abstract define"
"What is the term for method overriding?",polymorphism,"polymorphism encapsulation inheritance abstraction"
"What is the term for a blueprint in OOP?",class,"class object method instance"
"What is a constructor?",initializer,"initializer method function variable"
"What keyword is used to extend a class?",extends,"extends implements inherits uses"
"What is the term for a single instance?",singleton,"singleton multiple object instance"
"What is the term for a type of relationship?",association,"association inheritance dependency aggregation"
"What does OOP stand for?",programming,"programming design language structure"
