"What is the size of an int in Java?",4,"2 4 8 16"
"What keyword is used to declare a constant variable?",final,"const final variable constant"
"What is the default value of a boolean variable?",false,"true false 0 1"
"What is the entry point of a Java program?",main,"start main run begin"
"What is the size of a byte?",8,"1 8 16 32"
"What data type is used to represent a character?",char,"char String Character Int"
"What is the result of 10 / 2?",5,"3 5 7 10"
"What is the keyword to create a new object?",new,"create new instantiate define"
"What does JVM stand for?",machine,"machine software hardware platform"
"What is the purpose of the keyword 'static'?",class,"instance class method variable"
