"What is the base class for exceptions?",Throwable,"Throwable Exception Error Runtime"
"What keyword is used to handle exceptions?",catch,"catch throw finally handle"
"What is the purpose of a try block?",attempt,"attempt execute validate test"
"What is the purpose of a finally block?",cleanup,"cleanup handle return process"
"What type of exceptions must be caught?",checked,"checked unchecked runtime error"
"What does the throw keyword do?",raises,"raises throws invokes declares"
"What is an unchecked exception?",runtime,"runtime checked exception logic"
"What is the term for a problem in code?",bug,"bug issue error fault"
"What is the keyword to define a method?",void,"void return define create"
"What does the term exception mean?",error,"error problem issue fault"
